username, created_at, lng, lat, text
tashalynndunn, Tue Jan 26 06:08:22 +0000 2021, -85.380540, 39.932606, @LoyaltyComp @K9thegoat23 https://t.co/FQCLFmG39a 
alyssa_claire14, Tue Jan 26 06:08:22 +0000 2021, -92.633835, 32.536900, What other people think about you has nothing to do with you and everything to do with them. 
CioBeats, Tue Jan 26 06:08:22 +0000 2021, -122.272100, 37.802900, Some new west coast vibes for @bgperico •••#westcoast #sowayout #beatstars #newbeats2021 #instrumental… https://t.co/29Iz1oBADs 
GameTru, Tue Jan 26 06:08:22 +0000 2021, -75.115313, 39.893291, @pinky_schultz @SerotoninsGone @CompoundBoss I feel like you are really showing some aggression here, why? ... Who hurt you? 
DemonInMeCA, Tue Jan 26 06:08:22 +0000 2021, -121.873730, 37.331159, 🖤🖤 
SpeedyVeez, Tue Jan 26 06:08:22 +0000 2021, -119.306608, 37.269176, @Stckysheets @deemishell @CJReformPatriot Oh transferring..mingle time watch the numbers. I'd put the books in a ba… https://t.co/AE7zXbTyNc 
o_gkilla, Tue Jan 26 06:08:23 +0000 2021, -74.724323, 40.073041, Would a tiger eat a praying mantis? Ofc. Were they created by mantid aliens? Probabafuckinglee. 
Prodikal_son, Tue Jan 26 06:08:22 +0000 2021, -97.114771, 33.202495, Valentine’s Day is approaching 
AmigoIvy, Tue Jan 26 06:08:23 +0000 2021, -89.876449, 32.571032, @theyl0veAK_ Happy Birthday 🖤 
hjoymuenzler, Tue Jan 26 06:08:23 +0000 2021, -96.291649, 30.585471, someone needs to force feed me lmaooo i haven’t eaten a meal in 72 hours 
deniseNJrealtor, Tue Jan 26 06:08:23 +0000 2021, -74.485163, 40.785951, Someone does not know that she's a dog.#workinglate #shemissedme #Lucy #thebaby #lucyimhome #thisisnotnormal… https://t.co/qEGVNshqyL 
ceexcyn, Tue Jan 26 06:08:23 +0000 2021, -158.086384, 21.364071, @pitachulaa I feel like my jaw is broken and I keep getting punched in the face over and over and over again 😩 
ghhabib_fa, Tue Jan 26 06:08:24 +0000 2021, -79.913521, 43.260695, @bohlool_dana مهم‌ نیست. اینا کارشون همینه.  #برانداز_زیر_پتویی‌ 🤣 بزا اسم من و یادداشت کنه. :)) 
tiramisu27, Tue Jan 26 06:08:23 +0000 2021, -80.112903, 26.533486, @lilisofancy @LuxuryNaked https://t.co/0OFYv2Bg7T 
Midpacklikback, Tue Jan 26 06:08:24 +0000 2021, -122.228685, 37.791994, I need some more wine 
Missaelcortees, Tue Jan 26 06:08:24 +0000 2021, -79.272570, 43.629311, Esos que se burlan de los que graban los atardeceres de seguro no saben tomar buenas fotos y por eso el hate. 
Rasanbesa, Tue Jan 26 06:08:24 +0000 2021, -77.014398, 38.898603, @Comethazhine @GoatRant7 @AnotherNBAFan I have already said that I misspoke. How about you try clicking the replies… https://t.co/HizU87qqCr 
oscararmandojr, Tue Jan 26 06:08:24 +0000 2021, -118.027895, 33.936153, I love my life 
C_Christinecl, Tue Jan 26 06:08:24 +0000 2021, -90.178629, 30.001244, DUH 
ahuntsbe128, Tue Jan 26 06:08:24 +0000 2021, -78.398900, 40.507190, I feel like this is the epitome of a grandpa selfie for Levi. 😂😂#dogsofinstagram #lifeoflevi #selfiebygrandpa @ Al… https://t.co/8iqu3rFFPi 
Kiddie_A, Tue Jan 26 06:08:25 +0000 2021, -119.782465, 36.786042, 🤣🤣🤣🤣🤣 
roberts52063928, Tue Jan 26 06:08:25 +0000 2021, -95.913642, 36.109392, @Pixeldoggie2003 @McJuggerNuggets @Lyricoldrap @BridgetteWest @YegsTv I know right I think they both are out of control at this point 😂🤣 
illiniracers, Tue Jan 26 06:08:25 +0000 2021, -86.631040, 36.073653, https://t.co/QbpY3ZVIS4 
AntMillerJr, Tue Jan 26 06:08:25 +0000 2021, -75.770041, 42.746617, Chrome Hearts 🤞🏽🖤 
